transaction_id,txn_id,account_id,txn_type,debit,credit,inflow,outflow,balance,currency,channel,date,fraud_flag,merchant,city
TXN-FIN-001,TXN-FIN-001,ACC-001,credit,0,25000,25000,0,125000,INR,NEFT,2024-01-02,false,Salary Credit,Mumbai
TXN-FIN-002,TXN-FIN-002,ACC-001,debit,8500,0,0,8500,116500,INR,UPI,2024-01-02,false,BigBasket,Mumbai
TXN-FIN-003,TXN-FIN-003,ACC-002,credit,0,180000,180000,0,380000,INR,RTGS,2024-01-03,false,Business Receipt,Delhi
TXN-FIN-004,TXN-FIN-004,ACC-002,debit,45000,0,0,45000,335000,INR,IMPS,2024-01-03,false,Rent Payment,Delhi
TXN-FIN-005,TXN-FIN-005,ACC-003,debit,1200,0,0,1200,48800,INR,UPI,2024-01-04,false,Swiggy,Bangalore
TXN-FIN-006,TXN-FIN-006,ACC-003,credit,0,5000,5000,0,53800,INR,NEFT,2024-01-04,false,Interest Credit,Bangalore
TXN-FIN-007,TXN-FIN-007,ACC-004,debit,150000,0,0,150000,850000,INR,RTGS,2024-01-05,false,Supplier Payment,Chennai
TXN-FIN-008,TXN-FIN-008,ACC-004,credit,0,220000,220000,0,1070000,INR,NEFT,2024-01-05,false,Customer Receipt,Chennai
TXN-FIN-009,TXN-FIN-009,ACC-005,debit,2500,0,0,2500,97500,INR,POS,2024-01-06,false,Reliance Retail,Hyderabad
TXN-FIN-010,TXN-FIN-010,ACC-005,debit,15000,0,0,15000,82500,INR,NEFT,2024-01-06,false,Insurance Premium,Hyderabad
TXN-FIN-011,TXN-FIN-011,ACC-001,debit,3200,0,0,3200,113300,INR,UPI,2024-01-07,false,Zomato,Mumbai
TXN-FIN-012,TXN-FIN-012,ACC-006,credit,0,450000,450000,0,950000,INR,RTGS,2024-01-08,false,Invoice Payment,Pune
TXN-FIN-013,TXN-FIN-013,ACC-006,debit,85000,0,0,85000,865000,INR,IMPS,2024-01-08,false,GST Payment,Pune
TXN-FIN-014,TXN-FIN-014,ACC-002,debit,22000,0,0,22000,313000,INR,UPI,2024-01-09,false,SIP Investment,Delhi
TXN-FIN-015,TXN-FIN-015,ACC-007,debit,4800,0,0,4800,295200,INR,POS,2024-01-09,true,Unknown Merchant,Bangalore
TXN-FIN-016,TXN-FIN-016,ACC-003,debit,800,0,0,800,53000,INR,UPI,2024-01-10,false,OLA Cabs,Bangalore
TXN-FIN-017,TXN-FIN-017,ACC-007,credit,0,300000,300000,0,595200,INR,NEFT,2024-01-11,false,Salary Credit,Bangalore
TXN-FIN-018,TXN-FIN-018,ACC-008,debit,120000,0,0,120000,880000,INR,RTGS,2024-01-12,false,Advance Payment,Ahmedabad
TXN-FIN-019,TXN-FIN-019,ACC-008,credit,0,95000,95000,0,975000,INR,NEFT,2024-01-12,false,Collections,Ahmedabad
TXN-FIN-020,TXN-FIN-020,ACC-009,debit,5000,0,0,5000,195000,INR,IMPS,2024-01-13,false,Electricity Bill,Jaipur
TXN-FIN-021,TXN-FIN-021,ACC-009,credit,0,200000,200000,0,395000,INR,NEFT,2024-01-14,false,FD Maturity,Jaipur
TXN-FIN-022,TXN-FIN-022,ACC-010,debit,250000,0,0,250000,750000,INR,RTGS,2024-01-15,false,Bulk Payment,Kolkata
TXN-FIN-023,TXN-FIN-023,ACC-010,credit,0,380000,380000,0,1130000,INR,NEFT,2024-01-15,false,Export Receipt,Kolkata
TXN-FIN-024,TXN-FIN-024,ACC-001,debit,12000,0,0,12000,101300,INR,UPI,2024-01-16,false,Flipkart EMI,Mumbai
TXN-FIN-025,TXN-FIN-025,ACC-004,debit,35000,0,0,35000,1035000,INR,IMPS,2024-01-17,false,Staff Salaries,Chennai
TXN-FIN-026,TXN-FIN-026,ACC-005,credit,0,50000,50000,0,132500,INR,NEFT,2024-01-18,false,Rental Income,Hyderabad
TXN-FIN-027,TXN-FIN-027,ACC-006,debit,18000,0,0,18000,847000,INR,UPI,2024-01-19,false,Software License,Pune
TXN-FIN-028,TXN-FIN-028,ACC-011,debit,75000,0,0,75000,425000,INR,RTGS,2024-01-20,false,Loan EMI,Surat
TXN-FIN-029,TXN-FIN-029,ACC-011,credit,0,500000,500000,0,925000,INR,NEFT,2024-01-22,false,Client Payment,Surat
TXN-FIN-030,TXN-FIN-030,ACC-012,debit,3500,0,0,3500,146500,INR,POS,2024-01-23,false,Restaurant,Nagpur
TXN-FIN-031,TXN-FIN-031,ACC-002,credit,0,270000,270000,0,583000,INR,RTGS,2024-02-01,false,Project Invoice,Delhi
TXN-FIN-032,TXN-FIN-032,ACC-003,debit,9500,0,0,9500,43500,INR,UPI,2024-02-02,false,Amazon,Bangalore
TXN-FIN-033,TXN-FIN-033,ACC-007,debit,2200,0,0,2200,593000,INR,UPI,2024-02-03,true,Suspicious TXN,Bangalore
TXN-FIN-034,TXN-FIN-034,ACC-008,credit,0,140000,140000,0,1115000,INR,NEFT,2024-02-04,false,Advance Recovery,Ahmedabad
TXN-FIN-035,TXN-FIN-035,ACC-009,debit,30000,0,0,30000,365000,INR,IMPS,2024-02-05,false,Mutual Fund SIP,Jaipur
