loan_id,customer_id,loan_type,loan_amount,total_loans,outstanding_principal,interest_income,interest_rate,tenure_months,emi_amount,default_flag,npa,repayment_status,disbursement_date,city
LOAN-2401-001,CUST-001,Home Loan,4500000,4500000,4200000,67500,8.5,240,39167,false,0,regular,2024-01-05,Mumbai
LOAN-2401-002,CUST-002,Business Loan,2000000,2000000,1750000,25000,10.0,60,42500,false,0,regular,2024-01-08,Delhi
LOAN-2401-003,CUST-003,Personal Loan,500000,500000,480000,8000,14.0,36,17087,false,0,regular,2024-01-10,Bangalore
LOAN-2401-004,CUST-004,Vehicle Loan,800000,800000,720000,11200,12.0,48,21083,false,0,regular,2024-01-12,Chennai
LOAN-2401-005,CUST-005,Home Loan,6000000,6000000,5900000,90000,8.75,240,52917,false,0,regular,2024-01-15,Hyderabad
LOAN-2401-006,CUST-006,Business Loan,5000000,5000000,4800000,70833,11.5,84,84722,false,0,regular,2024-01-18,Pune
LOAN-2401-007,CUST-007,Personal Loan,300000,300000,290000,5250,14.5,24,14583,true,290000,npa,2024-01-20,Ahmedabad
LOAN-2401-008,CUST-008,Education Loan,1200000,1200000,1150000,15000,9.0,120,15200,false,0,regular,2024-01-22,Kolkata
LOAN-2401-009,CUST-009,Home Loan,3500000,3500000,3400000,51042,8.5,240,30417,false,0,regular,2024-01-25,Jaipur
LOAN-2401-010,CUST-010,Business Loan,8000000,8000000,7800000,110000,11.0,60,174167,false,0,regular,2024-01-28,Surat
LOAN-2401-011,CUST-011,Personal Loan,200000,200000,195000,3500,15.0,24,9722,true,195000,npa,2024-02-01,Mumbai
LOAN-2401-012,CUST-012,Vehicle Loan,1200000,1200000,1100000,16000,11.5,48,31250,false,0,regular,2024-02-04,Delhi
LOAN-2401-013,CUST-013,Home Loan,7500000,7500000,7300000,109375,8.75,300,65833,false,0,regular,2024-02-06,Bangalore
LOAN-2401-014,CUST-014,Business Loan,1500000,1500000,1450000,21875,12.0,36,49792,false,0,regular,2024-02-08,Chennai
LOAN-2401-015,CUST-015,Education Loan,800000,800000,780000,10000,9.5,96,10417,false,0,regular,2024-02-10,Hyderabad
LOAN-2401-016,CUST-016,Personal Loan,750000,750000,720000,13125,15.5,36,26042,false,0,irregular,2024-02-12,Pune
LOAN-2401-017,CUST-017,Home Loan,9000000,9000000,8800000,131250,9.0,360,81250,false,0,regular,2024-02-14,Ahmedabad
LOAN-2401-018,CUST-018,Business Loan,3000000,3000000,2900000,41250,11.0,48,76875,false,0,regular,2024-02-16,Nagpur
LOAN-2401-019,CUST-019,Vehicle Loan,600000,600000,575000,8750,12.5,36,20000,true,575000,npa,2024-02-18,Indore
LOAN-2401-020,CUST-020,Home Loan,5500000,5500000,5300000,79375,8.75,240,48333,false,0,regular,2024-02-20,Kolkata
