invoice_id,client_id,project_id,revenue,project_cost,engagement_cost,due_date,paid_flag,paid_date,invoice_date,gst_amount,total_with_gst
INV-2401-001,CLT-TATA-01,PROJ-2401,400000,280000,280000,2024-02-15,true,2024-02-12,2024-01-31,72000,472000
INV-2402-001,CLT-WIPRO-02,PROJ-2402,450000,310000,310000,2024-04-15,true,2024-04-10,2024-03-31,81000,531000
INV-2403-001,CLT-INFY-03,PROJ-2403,700000,480000,480000,2024-03-15,true,2024-03-14,2024-02-29,126000,826000
INV-2404-001,CLT-HCL-04,PROJ-2404,330000,230000,230000,2024-05-20,true,2024-05-18,2024-04-15,59400,389400
INV-2405-001,CLT-RELIANCE-05,PROJ-2405,875000,590000,590000,2024-04-01,true,2024-03-28,2024-02-29,157500,1032500
INV-2406-001,CLT-MAHINDRA-06,PROJ-2406,260000,175000,175000,2024-04-15,false,,2024-03-31,46800,306800
INV-2407-001,CLT-BAJAJ-07,PROJ-2407,560000,385000,385000,2024-06-30,true,2024-06-25,2024-05-20,100800,660800
INV-2408-001,CLT-ADANI-08,PROJ-2408,1050000,700000,700000,2024-04-01,true,2024-03-30,2024-02-29,189000,1239000
INV-2409-001,CLT-GODREJ-09,PROJ-2409,460000,310000,310000,2024-04-25,false,,2024-03-31,82800,542800
INV-2410-001,CLT-AIRTEL-10,PROJ-2410,680000,460000,460000,2024-05-10,true,2024-05-08,2024-04-25,122400,802400
INV-2411-001,CLT-TATA-01,PROJ-2411,180000,122000,122000,2024-05-15,false,,2024-04-30,32400,212400
INV-2412-001,CLT-HDFC-11,PROJ-2412,550000,375000,375000,2024-04-30,true,2024-04-28,2024-03-31,99000,649000
INV-2413-001,CLT-ICICI-12,PROJ-2413,290000,200000,200000,2024-06-10,true,2024-06-08,2024-05-05,52200,342200
INV-2414-001,CLT-SBI-13,PROJ-2414,217000,148000,148000,2024-05-31,false,,2024-04-30,39060,256060
INV-2415-001,CLT-FLIPKART-14,PROJ-2415,775000,520000,520000,2024-05-01,true,2024-04-28,2024-03-31,139500,914500
INV-2416-001,CLT-OLA-15,PROJ-2416,480000,330000,330000,2024-07-15,true,2024-07-10,2024-06-10,86400,566400
INV-2417-001,CLT-ZOMATO-16,PROJ-2417,240000,162000,162000,2024-05-31,false,,2024-04-30,43200,283200
INV-2418-001,CLT-PAYTM-17,PROJ-2418,870000,590000,590000,2024-05-30,true,2024-05-27,2024-04-30,156600,1026600
INV-2419-001,CLT-BYJU-18,PROJ-2419,450000,304000,304000,2024-05-01,false,,2024-03-31,81000,531000
INV-2420-001,CLT-SWIGGY-19,PROJ-2420,70000,49000,49000,2024-05-15,false,,2024-04-30,12600,82600
