date,order_id,customer_id,revenue,cogs,marketing_cost,sessions,cart_additions,category
2025-01-01,ORD001,CUST101,150.00,60.00,10.00,5,1,Electronics
2025-01-02,ORD002,CUST102,200.00,80.00,15.00,8,2,Home & Kitchen
2025-01-03,ORD003,CUST103,50.00,20.00,5.00,3,1,Books
2025-01-04,ORD004,CUST101,120.00,50.00,12.00,6,2,Electronics
2025-01-05,ORD005,CUST104,300.00,120.00,25.00,12,4,Fashion
2025-01-06,ORD006,CUST105,80.00,35.00,8.00,4,1,Home & Kitchen
2025-01-07,ORD007,CUST106,450.00,180.00,40.00,15,5,Electronics
2025-01-08,ORD008,CUST107,110.00,45.00,10.00,7,2,Books
2025-01-09,ORD009,CUST102,190.00,75.00,18.00,9,3,Home & Kitchen
2025-01-10,ORD010,CUST108,250.00,100.00,20.00,10,4,Fashion
2025-01-11,ORD011,CUST109,130.00,55.00,12.00,6,2,Electronics
2025-01-12,ORD012,CUST110,95.00,40.00,9.00,5,1,Books
2025-01-13,ORD013,CUST101,175.00,70.00,15.00,8,3,Electronics
2025-01-14,ORD014,CUST111,210.00,85.00,18.00,9,4,Home & Kitchen
2025-01-15,ORD015,CUST112,320.00,130.00,30.00,13,5,Fashion
2025-01-16,ORD016,CUST113,75.00,30.00,7.00,4,1,Books
2025-01-17,ORD017,CUST114,500.00,200.00,45.00,16,6,Electronics
2025-01-18,ORD018,CUST102,220.00,90.00,20.00,10,4,Home & Kitchen
2025-01-19,ORD019,CUST115,140.00,60.00,14.00,7,2,Fashion
2025-01-20,ORD020,CUST116,280.00,115.00,25.00,11,4,Electronics
2025-01-21,ORD021,CUST117,105.00,42.00,10.00,6,2,Books
2025-01-22,ORD022,CUST118,195.00,80.00,18.00,9,3,Home & Kitchen
2025-01-23,ORD023,CUST101,160.00,65.00,15.00,8,3,Electronics
2025-01-24,ORD024,CUST119,340.00,140.00,32.00,14,5,Fashion
2025-01-25,ORD025,CUST120,85.00,35.00,8.00,5,1,Books
2025-01-26,ORD026,CUST121,480.00,195.00,42.00,15,6,Electronics
2025-01-27,ORD027,CUST122,230.00,95.00,22.00,10,4,Home & Kitchen
2025-01-28,ORD028,CUST123,155.00,65.00,14.00,8,2,Fashion
2025-01-29,ORD029,CUST124,295.00,120.00,28.00,12,5,Electronics
2025-01-30,ORD030,CUST125,115.00,48.00,11.00,7,2,Books
