account_id,entity_name,city,net_income,total_assets,current_assets,current_liabilities,equity,total_debt,interest_expense,operating_income,quarter,year
ACC-CORP-001,Tata Consultancy,Mumbai,45200000,520000000,180000000,90000000,280000000,150000000,8500000,62000000,Q1,2024
ACC-CORP-002,Infosys Ltd,Bangalore,38500000,480000000,165000000,82000000,265000000,120000000,7200000,52000000,Q1,2024
ACC-CORP-003,Wipro Ltd,Hyderabad,22800000,320000000,110000000,58000000,180000000,95000000,5100000,31000000,Q1,2024
ACC-CORP-004,HCL Technologies,Delhi,18900000,280000000,95000000,48000000,155000000,85000000,4200000,25000000,Q1,2024
ACC-CORP-005,Tech Mahindra,Pune,12500000,195000000,68000000,35000000,110000000,60000000,2800000,17000000,Q1,2024
ACC-CORP-006,Bajaj Finance,Pune,55000000,850000000,420000000,280000000,320000000,480000000,32000000,78000000,Q1,2024
ACC-CORP-007,HDFC Bank,Mumbai,120000000,1800000000,850000000,620000000,580000000,980000000,68000000,175000000,Q1,2024
ACC-CORP-008,ICICI Bank,Mumbai,95000000,1500000000,720000000,540000000,480000000,850000000,58000000,140000000,Q1,2024
ACC-CORP-009,SBI,Delhi,85000000,2100000000,980000000,720000000,420000000,1350000000,92000000,125000000,Q1,2024
ACC-CORP-010,Axis Bank,Mumbai,42000000,960000000,450000000,330000000,280000000,580000000,38000000,62000000,Q1,2024
ACC-CORP-001,Tata Consultancy,Mumbai,48500000,528000000,185000000,88000000,288000000,145000000,8200000,66000000,Q2,2024
ACC-CORP-002,Infosys Ltd,Bangalore,41200000,492000000,170000000,80000000,272000000,115000000,6900000,56000000,Q2,2024
ACC-CORP-003,Wipro Ltd,Hyderabad,24100000,328000000,114000000,56000000,185000000,92000000,4900000,33000000,Q2,2024
ACC-CORP-004,HCL Technologies,Delhi,20500000,290000000,100000000,46000000,162000000,82000000,4000000,28000000,Q2,2024
ACC-CORP-005,Tech Mahindra,Pune,13800000,202000000,72000000,34000000,115000000,58000000,2600000,19000000,Q2,2024
ACC-CORP-006,Bajaj Finance,Pune,62000000,880000000,440000000,275000000,335000000,465000000,30000000,88000000,Q2,2024
ACC-CORP-007,HDFC Bank,Mumbai,128000000,1860000000,878000000,608000000,598000000,958000000,65000000,188000000,Q2,2024
ACC-CORP-008,ICICI Bank,Mumbai,102000000,1560000000,748000000,528000000,498000000,832000000,55000000,152000000,Q2,2024
ACC-CORP-009,SBI,Delhi,92000000,2180000000,1012000000,705000000,438000000,1320000000,88000000,136000000,Q2,2024
ACC-CORP-010,Axis Bank,Mumbai,46000000,992000000,468000000,322000000,292000000,568000000,36000000,68000000,Q2,2024
