project_id,client_id,consultant_id,engagement_type,status,start_date,end_date,invoice_id,contract_value,priority
PROJ-2401,CLT-TATA-01,EMP-001,IT Consulting,active,2024-01-05,2024-06-30,INV-2401-001,1200000,high
PROJ-2402,CLT-WIPRO-02,EMP-002,Business Analytics,completed,2024-01-10,2024-03-31,INV-2402-001,450000,medium
PROJ-2403,CLT-INFY-03,EMP-003,Digital Transformation,active,2024-02-01,2024-09-30,INV-2403-001,2800000,high
PROJ-2404,CLT-HCL-04,EMP-004,Staffing,completed,2024-01-15,2024-04-15,INV-2404-001,330000,low
PROJ-2405,CLT-RELIANCE-05,EMP-005,IT Consulting,active,2024-02-15,2024-12-31,INV-2405-001,3500000,high
PROJ-2406,CLT-MAHINDRA-06,EMP-006,Process Improvement,active,2024-03-01,2024-08-31,INV-2406-001,780000,medium
PROJ-2407,CLT-BAJAJ-07,EMP-007,Business Analytics,completed,2024-01-20,2024-05-20,INV-2407-001,560000,medium
PROJ-2408,CLT-ADANI-08,EMP-008,Infrastructure,active,2024-02-20,2024-11-30,INV-2408-001,4200000,high
PROJ-2409,CLT-GODREJ-09,EMP-009,IT Consulting,active,2024-03-10,2024-07-10,INV-2409-001,920000,medium
PROJ-2410,CLT-AIRTEL-10,EMP-010,Digital Transformation,completed,2024-01-25,2024-04-25,INV-2410-001,680000,high
PROJ-2411,CLT-TATA-01,EMP-001,Business Analytics,active,2024-04-01,2024-09-30,INV-2411-001,540000,medium
PROJ-2412,CLT-HDFC-11,EMP-011,IT Consulting,active,2024-03-15,2024-08-15,INV-2412-001,1100000,high
PROJ-2413,CLT-ICICI-12,EMP-012,Staffing,completed,2024-02-05,2024-05-05,INV-2413-001,290000,low
PROJ-2414,CLT-SBI-13,EMP-013,Process Improvement,active,2024-04-01,2024-10-31,INV-2414-001,650000,medium
PROJ-2415,CLT-FLIPKART-14,EMP-014,Digital Transformation,active,2024-03-20,2024-12-20,INV-2415-001,3100000,high
PROJ-2416,CLT-OLA-15,EMP-015,IT Consulting,completed,2024-02-10,2024-06-10,INV-2416-001,480000,medium
PROJ-2417,CLT-ZOMATO-16,EMP-016,Business Analytics,active,2024-04-15,2024-09-15,INV-2417-001,720000,medium
PROJ-2418,CLT-PAYTM-17,EMP-017,Infrastructure,completed,2024-01-30,2024-04-30,INV-2418-001,870000,high
PROJ-2419,CLT-BYJU-18,EMP-018,IT Consulting,active,2024-03-25,2024-11-25,INV-2419-001,1350000,high
PROJ-2420,CLT-SWIGGY-19,EMP-019,Staffing,active,2024-04-05,2024-07-05,INV-2420-001,210000,low
