timesheet_id,employee_id,project_id,date,billable_hours,total_hours,hours_worked,available_hours,task_type,rate_per_hour
TS-001,EMP-001,PROJ-2401,2024-01-08,7.5,8,7.5,8,Development,3500
TS-002,EMP-001,PROJ-2401,2024-01-09,6,8,8,8,Meetings,3500
TS-003,EMP-002,PROJ-2402,2024-01-10,8,8,8,8,Analysis,2800
TS-004,EMP-002,PROJ-2402,2024-01-11,7,8,8,8,Reporting,2800
TS-005,EMP-003,PROJ-2403,2024-02-01,8,9,9,9,Development,4200
TS-006,EMP-003,PROJ-2403,2024-02-02,7.5,8,8,8,Development,4200
TS-007,EMP-004,PROJ-2404,2024-01-15,6,8,8,8,Staffing,2200
TS-008,EMP-004,PROJ-2404,2024-01-16,6,8,8,8,Staffing,2200
TS-009,EMP-005,PROJ-2405,2024-02-15,8,8,8,8,Consulting,5000
TS-010,EMP-005,PROJ-2405,2024-02-16,7,8,8,8,Consulting,5000
TS-011,EMP-006,PROJ-2406,2024-03-01,7,8,8,8,Process,3200
TS-012,EMP-006,PROJ-2406,2024-03-02,7.5,8,8,8,Process,3200
TS-013,EMP-007,PROJ-2407,2024-01-22,8,8,8,8,Analysis,2900
TS-014,EMP-007,PROJ-2407,2024-01-23,6,8,8,8,Reporting,2900
TS-015,EMP-008,PROJ-2408,2024-02-20,8,9,9,9,Infrastructure,4500
TS-016,EMP-008,PROJ-2408,2024-02-21,7.5,8,8,8,Infrastructure,4500
TS-017,EMP-009,PROJ-2409,2024-03-12,7,8,8,8,Consulting,3800
TS-018,EMP-009,PROJ-2409,2024-03-13,8,8,8,8,Consulting,3800
TS-019,EMP-010,PROJ-2410,2024-01-26,6.5,8,8,8,Transformation,4000
TS-020,EMP-010,PROJ-2410,2024-01-27,7,8,8,8,Transformation,4000
TS-021,EMP-011,PROJ-2412,2024-03-16,8,8,8,8,Consulting,3600
TS-022,EMP-011,PROJ-2412,2024-03-17,7.5,8,8,8,Consulting,3600
TS-023,EMP-012,PROJ-2413,2024-02-06,5,8,8,8,Staffing,2200
TS-024,EMP-012,PROJ-2413,2024-02-07,5.5,8,8,8,Staffing,2200
TS-025,EMP-013,PROJ-2414,2024-04-02,7,8,8,8,Process,3100
TS-026,EMP-013,PROJ-2414,2024-04-03,8,8,8,8,Process,3100
TS-027,EMP-014,PROJ-2415,2024-03-21,8,9,9,9,Transformation,4800
TS-028,EMP-014,PROJ-2415,2024-03-22,7,8,8,8,Transformation,4800
TS-029,EMP-015,PROJ-2416,2024-02-12,6,8,8,8,Consulting,3300
TS-030,EMP-015,PROJ-2416,2024-02-13,7,8,8,8,Consulting,3300
TS-031,EMP-016,PROJ-2417,2024-04-16,8,8,8,8,Analysis,2900
TS-032,EMP-016,PROJ-2417,2024-04-17,7,8,8,8,Analysis,2900
TS-033,EMP-017,PROJ-2418,2024-02-01,7.5,8,8,8,Infrastructure,4100
TS-034,EMP-017,PROJ-2418,2024-02-02,8,9,9,9,Infrastructure,4100
TS-035,EMP-018,PROJ-2419,2024-03-26,8,8,8,8,Consulting,3900
TS-036,EMP-018,PROJ-2419,2024-03-27,7.5,8,8,8,Consulting,3900
TS-037,EMP-019,PROJ-2420,2024-04-06,4,8,8,8,Staffing,2100
TS-038,EMP-019,PROJ-2420,2024-04-07,4,8,8,8,Staffing,2100
TS-039,EMP-001,PROJ-2411,2024-04-02,7,8,8,8,Analysis,3500
TS-040,EMP-001,PROJ-2411,2024-04-03,7.5,8,8,8,Analysis,3500
