transaction_id,store_id,product_id,timestamp,sales_value,quantity_sold,inventory_level,cogs,tax,discount,loyalty_id,payment_type,clerk_id,department,brand,promotion_name,store_location,stock_status,is_weekend,weather_context
TXN-50001,STORE-2,P-334,2024-09-10,105.49,8,224,63.29,5.27,0.00,L-1001,Card,EMP-15,Meat,Private Label,None,Paris,In Stock,NO,Sunny
TXN-50002,STORE-3,P-350,2024-04-03,143.32,6,793,85.99,7.17,0.00,L-1002,Mobile Pay,EMP-41,Deli,Premium Brand,None,Berlin,In Stock,YES,Sunny
TXN-50003,STORE-4,P-301,2025-07-21,141.62,10,976,84.97,7.08,28.32,L-1003,Cash,EMP-38,Grocery,National Brand,None,Tokyo,In Stock,YES,Cloudy
TXN-50004,STORE-5,P-6,2024-08-10,33.53,5,798,20.12,1.68,6.71,,Card,EMP-43,Meat,Premium Brand,None,Paris,In Stock,YES,Sunny
TXN-50005,STORE-6,P-284,2025-05-28,126.62,3,500,75.97,6.33,0.00,,Cash,EMP-45,Produce,Premium Brand,None,Paris,In Stock,YES,Snowy
TXN-50006,STORE-7,P-276,2026-02-10,138.33,4,938,83.00,6.92,0.00,L-1006,Card,EMP-24,,National Brand,None,London,In Stock,NO,Cloudy
TXN-50007,STORE-8,P-296,2024-02-26,12.98,9,460,7.79,0.65,0.00,,Mobile Pay,EMP-18,Produce,Premium Brand,None,Paris,In Stock,YES,Snowy
TXN-50008,STORE-9,,2025-11-09,,8,72,52.80,4.40,0.00,,Cash,EMP-23,Produce,Premium Brand,None,Berlin,In Stock,NO,Snowy
TXN-50009,STORE-10,P-355,2025-12-10,4.02,7,959,2.41,0.20,0.00,,Card,EMP-46,Produce,National Brand,None,Paris,In Stock,YES,Snowy
TXN-50010,STORE-1,P-411,2025-06-05,15.31,10,770,9.19,0.77,0.00,L-1010,Card,EMP-5,Bakery,Premium Brand,None,Tokyo,In Stock,YES,Rainy
TXN-50011,STORE-2,P-140,2025-06-05,56.10,4,718,33.66,2.80,0.00,L-1011,Card,EMP-7,Meat,National Brand,None,Paris,In Stock,YES,Sunny
TXN-50012,STORE-3,P-142,2024-03-11,147.62,6,271,88.57,7.38,0.00,L-1012,Mobile Pay,EMP-39,Produce,Premium Brand,None,Berlin,In Stock,NO,Snowy
TXN-50013,STORE-4,P-149,2025-06-13,129.53,6,677,77.72,6.48,0.00,L-1013,Mobile Pay,EMP-30,Meat,Private Label,None,Tokyo,In Stock,NO,Snowy
TXN-50014,STORE-5,P-219,2025-07-01,129.49,6,75,77.69,6.47,0.00,L-1014,Mobile Pay,EMP-9,Deli,Premium Brand,None,Paris,In Stock,YES,Sunny
TXN-50015,STORE-6,P-195,2024-02-04,78.75,9,289,47.25,3.94,0.00,,Mobile Pay,EMP-7,Bakery,Premium Brand,None,Tokyo,In Stock,NO,Rainy
TXN-50016,STORE-7,P-383,2024-05-13,79.98,2,563,47.99,4.00,0.00,L-1016,Card,EMP-22,Grocery,National Brand,None,Paris,Low Stock,YES,Rainy
TXN-50017,STORE-8,P-75,Fri Sep 26 2025,45.88,4,655,27.53,2.29,0.00,L-1017,Card,EMP-2,Deli,Premium Brand,Winter Sale,New York,In Stock,NO,Rainy
TXN-50018,STORE-9,P-113,2026-02-04,49.13,3,511,29.48,2.46,0.00,L-1018,Card,EMP-11,Dairy,Private Label,None,Tokyo,In Stock,NO,Rainy
TXN-50019,STORE-10,P-55,2024-08-05,32.78,9,163,19.67,1.64,0.00,,Cash,EMP-2,Grocery,Private Label,None,Tokyo,Low Stock,NO,Sunny
TXN-50020,STORE-1,P-426,1/7/2026,150.77,4,84,90.46,7.54,0.00,L-1020,Card,EMP-36,Bakery,National Brand,None,New York,In Stock,YES,Sunny
TXN-50021,STORE-2,P-67,2024-02-01,72.65,2,592,43.59,3.63,0.00,,Cash,EMP-35,Meat,Premium Brand,None,London,In Stock,NO,Sunny
TXN-50022,STORE-3,P-184,2024-08-25,114.91,7,25,68.95,5.75,0.00,L-1022,Card,EMP-43, Grocery ,Private Label,None,New York,In Stock,NO,Sunny
